sigma_T5,sigma_T10,sigma_T15,sigma_T20,sigma_T25,sigma_T30,sigma_T35,sigma_T40,sigma_T45,sigma_T50
0.9354445196,0.3999828846,1.2295991140,0.4083658693,-0.0346759535,3.8118076336,-0.9111016961,0.7805423399,0.3914338881,-0.1061731964
0.1269986173,4.1469157959,-0.2947290379,1.9275804693,4.1146211773,-0.7309488779,3.9775304385,-0.1778605318,5.3344553488,-0.1473928402
-0.0586701287,-0.5298657649,0.4844830557,0.7467773381,0.1079588347,-0.1585176849,-0.8370576766,-0.2376206915,0.0164550484,-0.4538336658
0.8692137392,0.1856761927,0.2976732380,-0.0383369556,-0.3514399767,1.6295772086,2.5634563859,-0.1577537235,-0.0725896996,0.3010019481
-0.6099874667,2.0527510546,-0.1821092931,-0.4577479327,1.6666560944,0.2612016920,0.7054037444,0.1285855100,-0.7800671857,-0.6087714634
0.1017724086,3.0197429370,0.7833632311,0.1369790627,0.0039383883,-0.0678975662,1.8347902587,-0.0029869479,0.1515030590,-0.1004665815
0.3227052657,0.2314968236,-0.1529376582,1.7910373778,2.2839125033,1.3683115015,0.0435047322,1.3737598174,-0.1180897675,0.0589498742
-0.3124982245,-0.0085548987,0.3400970061,-0.0129845846,0.9335214789,-0.0495958177,-0.1409513741,-0.3727135516,0.0250946611,2.9449835112
-0.5115087463,-0.3749517547,-1.7503355666,-0.6791419888,0.2055130867,0.0714587469,6.9596585870,1.3865186315,-0.6466411754,0.7268683718
0.7928557996,-3.5897753586,-0.1929413815,-0.6845498576,-0.0593622088,1.1170313402,0.9565803842,0.3664756784,0.0772000170,-0.2569472009
-0.0088847040,0.3345223293,1.3829135053,4.1892010377,1.4701596336,-0.2154277076,1.7175619317,4.1649851679,-0.0179085367,3.5547159275
-1.1039603517,1.4843570492,-1.3231263724,1.2754546436,0.6556964755,-0.7677706852,0.2396465187,0.1602980435,-0.1428279512,0.3648749506
-1.1110254897,1.0290588186,2.1986298931,0.1389063721,0.0943781679,-0.0256101511,1.2100354021,2.1912073062,1.1803403793,0.4594342646
-0.1499445610,-0.6225683720,0.8198163327,0.2761559592,-0.5655002783,0.8533436754,-0.2941214488,-0.3836711918,0.0254338980,0.0254509036
0.4968305717,0.5745735714,-0.2881486798,-0.1460851450,0.1392606318,-0.0364264182,0.0081838226,1.0868960283,0.4639601848,3.1208635862
-1.1400576268,0.2890838330,-0.0614956225,2.8166918420,0.0420946113,-0.3685020887,1.0271520036,0.0242359271,2.2105756463,3.4160977736
1.8484377045,0.1415737187,-0.7060210202,-0.4978295844,3.5839614429,-0.0618722447,-1.0647385081,-0.7336938876,1.6764056782,-0.3214218144
-0.2678310848,0.1485710689,0.5704019316,0.3125875052,1.1222909971,-0.1161272023,-0.0023011482,1.3775452717,-0.2035109073,0.0184036339
-0.0239769120,0.3994860776,-0.0180020085,-0.1039026948,0.0755855063,1.0869575667,-0.4013124932,0.0215967180,0.9415368663,3.1630925983
0.4301428911,-0.1433912996,0.4681079412,-0.0694902055,0.9824842309,0.0141851621,0.0993062913,-1.2070893072,-0.0034586704,0.2169991640
