sigma_T5,sigma_T10,sigma_T15,sigma_T20,sigma_T25,sigma_T30,sigma_T35,sigma_T40,sigma_T45,sigma_T50
-0.7476122511,-0.9731245096,3.6167970061,-0.1390869982,0.0105954047,8.2357011650,3.1421462263,-0.8571481872,9.8396989205,2.1195974640
-0.0614043034,-0.5419305871,2.2240691452,3.0572884771,1.0790650539,3.3055284107,5.5208783150,3.3886114659,1.7577619611,-0.9202670188
0.8775363298,3.1135405030,2.7825764137,1.7437822334,0.2683919327,4.4816427877,1.3883252600,-2.9206066395,5.3654123630,0.1740121355
-0.2920014042,0.1903295738,1.0732031333,-0.3572448203,3.9011323622,4.3589093963,4.6788347252,0.9052136744,1.6335113186,3.2123279463
0.2666314884,0.3638114918,0.7677715555,1.3680337877,2.8399877114,4.5882266748,-0.1114211044,2.9041576421,5.9369134839,1.4999518817
0.3740746712,0.1061368096,0.2085694223,-1.4301362943,0.7918289962,1.1093745522,3.1509947514,0.8383490095,5.0476074431,6.6778242888
2.7614112992,-1.5867643010,0.4477224880,3.8163992182,2.0900805600,2.6962308862,4.2526469487,1.8332117637,0.4143702907,2.4967978163
0.4529123882,0.4435246167,0.3654349593,2.0712527521,2.5454369080,1.4349622788,-1.4226148973,4.7173458465,4.5445302262,1.2771248188
3.3857566953,-1.1046989549,-0.3813137681,1.4491404487,-0.0625812314,4.5573138554,0.4476552604,5.2957350897,2.5865480049,5.8826334609
-0.2956478519,0.9361724829,-0.9334914137,0.4424855556,2.7621834198,6.6924780369,-2.3442418497,3.2881966023,1.1098822078,4.7935619472
1.5263803091,-1.0618250087,0.2917782598,2.1726629431,6.4837918211,2.0416167815,3.7072318084,-1.3946651817,7.7323425728,2.9718832096
